,vereador,total_materias,saude,saibro,lombadas,tapa_buraco,poda_verde,iluminacao_publica,imposto,mocao,ruas_asfalto,limpeza,onibus,valeta,pintura,calçada,agua_esgoto,estacionamento,sinalizacao,evento,solicitacoes,manutencao,energia_eletrica,desapropriação,transito,queimada,solicitacao_meio_ambiente,solicitacao_informacao,solicitacao_educacao,solicitacao_fiscalizacao,horta_comunitaria,assistencia_social,esportes,educacao_infantil,servidores_municipais,licitações,patrulha_escolar,reciclagem,seguranca,imovel_abandonado,animais,armazem_familia,amamentacao_materna,tapume,parecer_tecnico,saude_%,saibro_%,lombadas_%,tapa_buraco_%,poda_verde_%,iluminacao_publica_%,imposto_%,mocao_%,ruas_asfalto_%,limpeza_%,onibus_%,valeta_%,pintura_%,calçada_%,agua_esgoto_%,estacionamento_%,sinalizacao_%,evento_%,solicitacoes_%,manutencao_%,energia_eletrica_%,desapropriação_%,transito_%,queimada_%,solicitacao_meio_ambiente_%,solicitacao_informacao_%,solicitacao_educacao_%,solicitacao_fiscalizacao_%,horta_comunitaria_%,assistencia_social_%,esportes_%,educacao_infantil_%,servidores_municipais_%,licitações_%,patrulha_escolar_%,reciclagem_%,seguranca_%,imovel_abandonado_%,animais_%,armazem_familia_%,amamentacao_materna_%,tapume_%,parecer_tecnico_%
0,Amilton Lima,194,2,32,28,28,29,8,0,7,10,8,3,3,1,6,11,1,6,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1.0,16.5,14.4,14.4,14.9,4.1,0.0,3.6,5.2,4.1,1.5,1.5,0.5,3.1,5.7,0.5,3.1,1.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.5,0.0
1,Cicero,19,0,0,8,7,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42.1,36.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Eugênio,74,1,15,12,10,4,3,1,5,4,5,1,1,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,20.3,16.2,13.5,5.4,4.1,1.4,6.8,5.4,6.8,1.4,1.4,2.7,10.8,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Guanair,52,0,2,3,5,2,2,0,8,3,5,1,1,2,3,2,1,0,1,0,6,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.8,5.8,9.6,3.8,3.8,0.0,15.4,5.8,9.6,1.9,1.9,3.8,5.8,3.8,1.9,0.0,1.9,0.0,11.5,3.8,0.0,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Maguila,44,1,1,5,7,1,0,1,4,7,3,1,0,0,1,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,2.3,2.3,11.4,15.9,2.3,0.0,2.3,9.1,15.9,6.8,2.3,0.0,0.0,2.3,4.5,0.0,0.0,0.0,0.0,4.5,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,2.3,2.3,0.0,2.3,0.0,0.0,0.0,2.3
5,Marcelinho da Saúde,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Marildo Gomes,38,0,15,9,2,3,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,39.5,23.7,5.3,7.9,0.0,0.0,0.0,5.3,7.9,0.0,2.6,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Negão da Calha,46,0,12,4,1,5,0,0,1,2,3,1,1,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,26.1,8.7,2.2,10.9,0.0,0.0,2.2,4.3,6.5,2.2,2.2,0.0,0.0,8.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Professor Gilmar,351,20,47,26,13,21,14,2,6,19,12,8,0,1,4,15,0,11,2,0,9,1,0,1,0,0,3,1,0,1,2,2,3,1,1,1,1,1,0,0,1,1,0,0,5.7,13.4,7.4,3.7,6.0,4.0,0.6,1.7,5.4,3.4,2.3,0.0,0.3,1.1,4.3,0.0,3.1,0.6,0.0,2.6,0.3,0.0,0.3,0.0,0.0,0.9,0.3,0.0,0.3,0.6,0.6,0.9,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0
9,Professor Pedro,60,0,4,6,8,3,1,1,7,3,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.7,10.0,13.3,5.0,1.7,1.7,11.7,5.0,5.0,1.7,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
